#ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Method	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Database	Interaction Identifiers	Confidence Values
entrez gene/locuslink:852495	entrez gene/locuslink:948461	biogrid:32893|entrez gene/locuslink:PGI1|entrez gene/locuslink:YBR196C	biogrid:852757|entrez gene/locuslink:sthA|entrez gene/locuslink:b3962	entrez gene/locuslink:CDC30(gene name synonym)|entrez gene/locuslink:L000001409(gene name synonym)|entrez gene/locuslink:L000001410(gene name synonym)|entrez gene/locuslink:glucose-6-phosphate isomerase(gene name synonym)	entrez gene/locuslink:ECK3954(gene name synonym)|entrez gene/locuslink:JW5551(gene name synonym)|entrez gene/locuslink:sth(gene name synonym)|entrez gene/locuslink:udhA(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Heux S (2008)"	pubmed:18036177	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:263839	-
entrez gene/locuslink:945556	entrez gene/locuslink:853664	biogrid:849930|entrez gene/locuslink:pyrD|entrez gene/locuslink:b0945	biogrid:33949|entrez gene/locuslink:URA1|entrez gene/locuslink:YKL216W	entrez gene/locuslink:ECK0936(gene name synonym)|entrez gene/locuslink:JW0928(gene name synonym)	entrez gene/locuslink:L000002430(gene name synonym)|entrez gene/locuslink:dihydroorotate dehydrogenase(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Deutscher D (2006)"	pubmed:16941010	taxid:511145	taxid:559292	psi-mi:"MI:0794"(synthetic genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:348088	-
entrez gene/locuslink:854942	entrez gene/locuslink:947447	biogrid:35106|entrez gene/locuslink:OGG1|entrez gene/locuslink:YML060W	biogrid:851767|entrez gene/locuslink:mutY|entrez gene/locuslink:b2961	entrez gene/locuslink:8-oxoguanine glycosylase OGG1(gene name synonym)|entrez gene/locuslink:L000003339(gene name synonym)	entrez gene/locuslink:ECK2956(gene name synonym)|entrez gene/locuslink:JW2928(gene name synonym)|entrez gene/locuslink:micA(gene name synonym)|entrez gene/locuslink:mutB(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"van der Kemp PA (2009)"	pubmed:19264809	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:349579	-
entrez gene/locuslink:850430	entrez gene/locuslink:947447	biogrid:31042|entrez gene/locuslink:RAD18|entrez gene/locuslink:YCR066W	biogrid:851767|entrez gene/locuslink:mutY|entrez gene/locuslink:b2961	entrez gene/locuslink:E3 ubiquitin-protein ligase RAD18(gene name synonym)|entrez gene/locuslink:L000001567(gene name synonym)	entrez gene/locuslink:ECK2956(gene name synonym)|entrez gene/locuslink:JW2928(gene name synonym)|entrez gene/locuslink:micA(gene name synonym)|entrez gene/locuslink:mutB(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"van der Kemp PA (2009)"	pubmed:19264809	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:349580	-
entrez gene/locuslink:852385	entrez gene/locuslink:947447	biogrid:32794|entrez gene/locuslink:POL30|entrez gene/locuslink:YBR088C	biogrid:851767|entrez gene/locuslink:mutY|entrez gene/locuslink:b2961	entrez gene/locuslink:L000001463(gene name synonym)|entrez gene/locuslink:PCNA(gene name synonym)|entrez gene/locuslink:proliferating cell nuclear antigen(gene name synonym)	entrez gene/locuslink:ECK2956(gene name synonym)|entrez gene/locuslink:JW2928(gene name synonym)|entrez gene/locuslink:micA(gene name synonym)|entrez gene/locuslink:mutB(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"van der Kemp PA (2009)"	pubmed:19264809	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:349581	-
entrez gene/locuslink:947364	entrez gene/locuslink:2541402	biogrid:851687|entrez gene/locuslink:ispB|entrez gene/locuslink:b3187	biogrid:277911|entrez gene/locuslink:dps1|entrez gene/locuslink:SPBPJ4664.01	entrez gene/locuslink:ECK3176(gene name synonym)|entrez gene/locuslink:JW3154(gene name synonym)|entrez gene/locuslink:cel(gene name synonym)|entrez gene/locuslink:yhbD(gene name synonym)	entrez gene/locuslink:SPBPJ694.01(gene name synonym)|entrez gene/locuslink:dps(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Cui TZ (2010)"	pubmed:20051244	taxid:511145	taxid:284812	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:354338	-
entrez gene/locuslink:947364	entrez gene/locuslink:2542608	biogrid:851687|entrez gene/locuslink:ispB|entrez gene/locuslink:b3187	biogrid:279062|entrez gene/locuslink:dlp1|entrez gene/locuslink:SPAC19G12.12	entrez gene/locuslink:ECK3176(gene name synonym)|entrez gene/locuslink:JW3154(gene name synonym)|entrez gene/locuslink:cel(gene name synonym)|entrez gene/locuslink:yhbD(gene name synonym)	entrez gene/locuslink:coq1(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Cui TZ (2010)"	pubmed:20051244	taxid:511145	taxid:284812	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:354339	-
entrez gene/locuslink:856291	entrez gene/locuslink:944750	biogrid:36335|entrez gene/locuslink:ORC4|entrez gene/locuslink:YPR162C	biogrid:849153|entrez gene/locuslink:dnaK|entrez gene/locuslink:b0014	entrez gene/locuslink:L000003075(gene name synonym)|entrez gene/locuslink:origin recognition complex subunit 4(gene name synonym)	entrez gene/locuslink:ECK0014(gene name synonym)|entrez gene/locuslink:JW0013(gene name synonym)|entrez gene/locuslink:groPAB(gene name synonym)|entrez gene/locuslink:groPC(gene name synonym)|entrez gene/locuslink:groPF(gene name synonym)|entrez gene/locuslink:grpC(gene name synonym)|entrez gene/locuslink:grpF(gene name synonym)|entrez gene/locuslink:seg(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Alamo MM (2010)"	pubmed:20732327	taxid:559292	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:452570	-
entrez gene/locuslink:856291	entrez gene/locuslink:944750	biogrid:36335|entrez gene/locuslink:ORC4|entrez gene/locuslink:YPR162C	biogrid:849153|entrez gene/locuslink:dnaK|entrez gene/locuslink:b0014	entrez gene/locuslink:L000003075(gene name synonym)|entrez gene/locuslink:origin recognition complex subunit 4(gene name synonym)	entrez gene/locuslink:ECK0014(gene name synonym)|entrez gene/locuslink:JW0013(gene name synonym)|entrez gene/locuslink:groPAB(gene name synonym)|entrez gene/locuslink:groPC(gene name synonym)|entrez gene/locuslink:groPF(gene name synonym)|entrez gene/locuslink:grpC(gene name synonym)|entrez gene/locuslink:grpF(gene name synonym)|entrez gene/locuslink:seg(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Alamo MM (2010)"	pubmed:20732327	taxid:559292	taxid:511145	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:452572	-
entrez gene/locuslink:852352	entrez gene/locuslink:944750	biogrid:32764|entrez gene/locuslink:ORC2|entrez gene/locuslink:YBR060C	biogrid:849153|entrez gene/locuslink:dnaK|entrez gene/locuslink:b0014	entrez gene/locuslink:L000001776(gene name synonym)|entrez gene/locuslink:RRR1(gene name synonym)|entrez gene/locuslink:SIR5(gene name synonym)|entrez gene/locuslink:origin recognition complex subunit 2(gene name synonym)	entrez gene/locuslink:ECK0014(gene name synonym)|entrez gene/locuslink:JW0013(gene name synonym)|entrez gene/locuslink:groPAB(gene name synonym)|entrez gene/locuslink:groPC(gene name synonym)|entrez gene/locuslink:groPF(gene name synonym)|entrez gene/locuslink:grpC(gene name synonym)|entrez gene/locuslink:grpF(gene name synonym)|entrez gene/locuslink:seg(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Alamo MM (2010)"	pubmed:20732327	taxid:559292	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:452575	-
entrez gene/locuslink:853941	entrez gene/locuslink:948543	biogrid:34198|entrez gene/locuslink:GPT2|entrez gene/locuslink:YKR067W	biogrid:852837|entrez gene/locuslink:dgkA|entrez gene/locuslink:b4042	entrez gene/locuslink:GAT1(gene name synonym)|entrez gene/locuslink:bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase GPT2(gene name synonym)	entrez gene/locuslink:ECK4034(gene name synonym)|entrez gene/locuslink:JW4002(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Zaremberg V (2002)"	pubmed:12167660	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:482974	-
entrez gene/locuslink:852271	entrez gene/locuslink:948543	biogrid:32688|entrez gene/locuslink:SCT1|entrez gene/locuslink:YBL011W	biogrid:852837|entrez gene/locuslink:dgkA|entrez gene/locuslink:b4042	entrez gene/locuslink:GAT2(gene name synonym)|entrez gene/locuslink:L000001820(gene name synonym)|entrez gene/locuslink:bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1(gene name synonym)	entrez gene/locuslink:ECK4034(gene name synonym)|entrez gene/locuslink:JW4002(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Zaremberg V (2002)"	pubmed:12167660	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:482975	-
entrez gene/locuslink:851539	entrez gene/locuslink:948937	biogrid:32033|entrez gene/locuslink:GPD1|entrez gene/locuslink:YDL022W	biogrid:853206|entrez gene/locuslink:srlD|entrez gene/locuslink:b2705	entrez gene/locuslink:DAR1(gene name synonym)|entrez gene/locuslink:HOR1(gene name synonym)|entrez gene/locuslink:L000000722(gene name synonym)|entrez gene/locuslink:OSG1(gene name synonym)|entrez gene/locuslink:OSR5(gene name synonym)|entrez gene/locuslink:"glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1"(gene name synonym)	entrez gene/locuslink:ECK2700(gene name synonym)|entrez gene/locuslink:JW2674(gene name synonym)|entrez gene/locuslink:gutD(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Jain VK (2011)"	pubmed:21720823	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:553677	-
entrez gene/locuslink:854095	entrez gene/locuslink:948937	biogrid:34342|entrez gene/locuslink:GPD2|entrez gene/locuslink:YOL059W	biogrid:853206|entrez gene/locuslink:srlD|entrez gene/locuslink:b2705	entrez gene/locuslink:GPD3(gene name synonym)|entrez gene/locuslink:L000000723(gene name synonym)|entrez gene/locuslink:L000003160(gene name synonym)|entrez gene/locuslink:"glycerol-3-phosphate dehydrogenase (NAD(+)) GPD2"(gene name synonym)	entrez gene/locuslink:ECK2700(gene name synonym)|entrez gene/locuslink:JW2674(gene name synonym)|entrez gene/locuslink:gutD(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Jain VK (2011)"	pubmed:21720823	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:553678	-
entrez gene/locuslink:851539	entrez gene/locuslink:948440	biogrid:32033|entrez gene/locuslink:GPD1|entrez gene/locuslink:YDL022W	biogrid:852737|entrez gene/locuslink:gldA|entrez gene/locuslink:b3945	entrez gene/locuslink:DAR1(gene name synonym)|entrez gene/locuslink:HOR1(gene name synonym)|entrez gene/locuslink:L000000722(gene name synonym)|entrez gene/locuslink:OSG1(gene name synonym)|entrez gene/locuslink:OSR5(gene name synonym)|entrez gene/locuslink:"glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1"(gene name synonym)	entrez gene/locuslink:ECK3937(gene name synonym)|entrez gene/locuslink:JW5556(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Jain VK (2011)"	pubmed:21720823	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:553679	-
entrez gene/locuslink:854095	entrez gene/locuslink:945574	biogrid:34342|entrez gene/locuslink:GPD2|entrez gene/locuslink:YOL059W	biogrid:849948|entrez gene/locuslink:mgsA|entrez gene/locuslink:b0963	entrez gene/locuslink:GPD3(gene name synonym)|entrez gene/locuslink:L000000723(gene name synonym)|entrez gene/locuslink:L000003160(gene name synonym)|entrez gene/locuslink:"glycerol-3-phosphate dehydrogenase (NAD(+)) GPD2"(gene name synonym)	entrez gene/locuslink:ECK0954(gene name synonym)|entrez gene/locuslink:JW5129(gene name synonym)|entrez gene/locuslink:mgs(gene name synonym)|entrez gene/locuslink:yccG(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Jain VK (2011)"	pubmed:21720823	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:553680	-
entrez gene/locuslink:947429	entrez gene/locuslink:948695	biogrid:851750|entrez gene/locuslink:rdgB|entrez gene/locuslink:b2954	biogrid:852987|entrez gene/locuslink:purA|entrez gene/locuslink:b4177	entrez gene/locuslink:ECK2949(gene name synonym)|entrez gene/locuslink:JW2921(gene name synonym)|entrez gene/locuslink:yggV(gene name synonym)	entrez gene/locuslink:ECK4173(gene name synonym)|entrez gene/locuslink:JW4135(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Pang B (2012)"	pubmed:22308425	taxid:511145	taxid:511145	psi-mi:"MI:0799"(additive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:616365	-
entrez gene/locuslink:946985	entrez gene/locuslink:947429	biogrid:851324|entrez gene/locuslink:guaB|entrez gene/locuslink:b2508	biogrid:851750|entrez gene/locuslink:rdgB|entrez gene/locuslink:b2954	entrez gene/locuslink:ECK2504(gene name synonym)|entrez gene/locuslink:JW5401(gene name synonym)|entrez gene/locuslink:guaR(gene name synonym)	entrez gene/locuslink:ECK2949(gene name synonym)|entrez gene/locuslink:JW2921(gene name synonym)|entrez gene/locuslink:yggV(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Pang B (2012)"	pubmed:22308425	taxid:511145	taxid:511145	psi-mi:"MI:0799"(additive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:616366	-
entrez gene/locuslink:948443	entrez gene/locuslink:945764	biogrid:852740|entrez gene/locuslink:clpS|entrez gene/locuslink:b0881	biogrid:850131|entrez gene/locuslink:clpA|entrez gene/locuslink:b0882	entrez gene/locuslink:ECK0872(gene name synonym)|entrez gene/locuslink:JW0865(gene name synonym)|entrez gene/locuslink:yljA(gene name synonym)	entrez gene/locuslink:ECK0873(gene name synonym)|entrez gene/locuslink:JW0866(gene name synonym)|entrez gene/locuslink:lopD(gene name synonym)	psi-mi:"MI:0114"(x-ray crystallography)	"Erbse A (2006)"	pubmed:16467841	taxid:511145	taxid:511145	psi-mi:"MI:0914"(association)	psi-mi:"MI:0463"(biogrid)	biogrid:661937	-
entrez gene/locuslink:947077	entrez gene/locuslink:944750	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:849153|entrez gene/locuslink:dnaK|entrez gene/locuslink:b0014	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:ECK0014(gene name synonym)|entrez gene/locuslink:JW0013(gene name synonym)|entrez gene/locuslink:groPAB(gene name synonym)|entrez gene/locuslink:groPC(gene name synonym)|entrez gene/locuslink:groPF(gene name synonym)|entrez gene/locuslink:grpC(gene name synonym)|entrez gene/locuslink:grpF(gene name synonym)|entrez gene/locuslink:seg(gene name synonym)	psi-mi:"MI:0415"(enzymatic study)	"Miot M (2011)"	pubmed:21474779	taxid:511145	taxid:511145	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:661968	-
entrez gene/locuslink:947077	entrez gene/locuslink:944750	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:849153|entrez gene/locuslink:dnaK|entrez gene/locuslink:b0014	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:ECK0014(gene name synonym)|entrez gene/locuslink:JW0013(gene name synonym)|entrez gene/locuslink:groPAB(gene name synonym)|entrez gene/locuslink:groPC(gene name synonym)|entrez gene/locuslink:groPF(gene name synonym)|entrez gene/locuslink:grpC(gene name synonym)|entrez gene/locuslink:grpF(gene name synonym)|entrez gene/locuslink:seg(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	"Miot M (2011)"	pubmed:21474779	taxid:511145	taxid:511145	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:661969	-
entrez gene/locuslink:947077	entrez gene/locuslink:944750	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:849153|entrez gene/locuslink:dnaK|entrez gene/locuslink:b0014	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:ECK0014(gene name synonym)|entrez gene/locuslink:JW0013(gene name synonym)|entrez gene/locuslink:groPAB(gene name synonym)|entrez gene/locuslink:groPC(gene name synonym)|entrez gene/locuslink:groPF(gene name synonym)|entrez gene/locuslink:grpC(gene name synonym)|entrez gene/locuslink:grpF(gene name synonym)|entrez gene/locuslink:seg(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Reidy M (2012)"	pubmed:22732191	taxid:511145	taxid:511145	psi-mi:"MI:0799"(additive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:668572	-
entrez gene/locuslink:947077	entrez gene/locuslink:947097	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:851433|entrez gene/locuslink:grpE|entrez gene/locuslink:b2614	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:ECK2610(gene name synonym)|entrez gene/locuslink:JW2594(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Reidy M (2012)"	pubmed:22732191	taxid:511145	taxid:511145	psi-mi:"MI:0799"(additive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:668573	-
entrez gene/locuslink:945583	entrez gene/locuslink:947086	biogrid:849957|entrez gene/locuslink:bamE|entrez gene/locuslink:b2617	biogrid:851422|entrez gene/locuslink:bamD|entrez gene/locuslink:b2595	entrez gene/locuslink:ECK2613(gene name synonym)|entrez gene/locuslink:JW2598(gene name synonym)|entrez gene/locuslink:smpA(gene name synonym)|entrez gene/locuslink:smqA(gene name synonym)	entrez gene/locuslink:ECK2593(gene name synonym)|entrez gene/locuslink:JW2577(gene name synonym)|entrez gene/locuslink:ecfD(gene name synonym)|entrez gene/locuslink:yfiO(gene name synonym)	psi-mi:"MI:0096"(pull down)	"Albrecht R (2011)"	pubmed:21586578	taxid:511145	taxid:511145	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:672071	-
entrez gene/locuslink:945066	entrez gene/locuslink:947794	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:852106|entrez gene/locuslink:rpoA|entrez gene/locuslink:b3295	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK3282(gene name synonym)|entrez gene/locuslink:JW3257(gene name synonym)|entrez gene/locuslink:pez(gene name synonym)|entrez gene/locuslink:phs(gene name synonym)|entrez gene/locuslink:sez(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734713	-
entrez gene/locuslink:945066	entrez gene/locuslink:948488	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:852782|entrez gene/locuslink:rpoB|entrez gene/locuslink:b3987	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK3978(gene name synonym)|entrez gene/locuslink:JW3950(gene name synonym)|entrez gene/locuslink:ftsR(gene name synonym)|entrez gene/locuslink:groN(gene name synonym)|entrez gene/locuslink:mbrD?(gene name synonym)|entrez gene/locuslink:nitB(gene name synonym)|entrez gene/locuslink:rif(gene name synonym)|entrez gene/locuslink:ron(gene name synonym)|entrez gene/locuslink:sdgB(gene name synonym)|entrez gene/locuslink:stl(gene name synonym)|entrez gene/locuslink:stv(gene name synonym)|entrez gene/locuslink:tabD(gene name synonym)|entrez gene/locuslink:tabG(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734714	-
entrez gene/locuslink:945066	entrez gene/locuslink:944750	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:849153|entrez gene/locuslink:dnaK|entrez gene/locuslink:b0014	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK0014(gene name synonym)|entrez gene/locuslink:JW0013(gene name synonym)|entrez gene/locuslink:groPAB(gene name synonym)|entrez gene/locuslink:groPC(gene name synonym)|entrez gene/locuslink:groPF(gene name synonym)|entrez gene/locuslink:grpC(gene name synonym)|entrez gene/locuslink:grpF(gene name synonym)|entrez gene/locuslink:seg(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734715	-
entrez gene/locuslink:945066	entrez gene/locuslink:944753	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:849156|entrez gene/locuslink:dnaJ|entrez gene/locuslink:b0015	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK0015(gene name synonym)|entrez gene/locuslink:JW0014(gene name synonym)|entrez gene/locuslink:faa(gene name synonym)|entrez gene/locuslink:groP(gene name synonym)|entrez gene/locuslink:grpC(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734716	-
entrez gene/locuslink:945066	entrez gene/locuslink:948665	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:852957|entrez gene/locuslink:groL|entrez gene/locuslink:b4143	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK4137(gene name synonym)|entrez gene/locuslink:JW4103(gene name synonym)|entrez gene/locuslink:groEL(gene name synonym)|entrez gene/locuslink:mopA(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734717	-
entrez gene/locuslink:945066	entrez gene/locuslink:947077	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734718	-
entrez gene/locuslink:945066	entrez gene/locuslink:947253	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:851583|entrez gene/locuslink:pepN|entrez gene/locuslink:b0932	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK0923(gene name synonym)|entrez gene/locuslink:JW0915(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734719	-
entrez gene/locuslink:945066	entrez gene/locuslink:944821	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:849222|entrez gene/locuslink:secA|entrez gene/locuslink:b0098	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK0099(gene name synonym)|entrez gene/locuslink:JW0096(gene name synonym)|entrez gene/locuslink:azi(gene name synonym)|entrez gene/locuslink:pea(gene name synonym)|entrez gene/locuslink:prlD(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734720	-
entrez gene/locuslink:945066	entrez gene/locuslink:946234	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:850594|entrez gene/locuslink:katE|entrez gene/locuslink:b1732	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK1730(gene name synonym)|entrez gene/locuslink:JW1721(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734721	-
entrez gene/locuslink:945066	entrez gene/locuslink:945225	biogrid:849455|entrez gene/locuslink:yajL|entrez gene/locuslink:b0424	biogrid:849610|entrez gene/locuslink:ahpC|entrez gene/locuslink:b0605	entrez gene/locuslink:ECK0418(gene name synonym)|entrez gene/locuslink:JW5057(gene name synonym)|entrez gene/locuslink:thiJ(gene name synonym)	entrez gene/locuslink:ECK0599(gene name synonym)|entrez gene/locuslink:JW0598(gene name synonym)|entrez gene/locuslink:tpx(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Le HT (2012)"	pubmed:22157000	taxid:511145	taxid:511145	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:734722	-
